family	endpoint	source	icd10
Sleep	SLEEP	HD	F51
Sleep	SLEEP	HD	G470
Sleep	SLEEP	HD	G479
Sleep	SLEEP	HD	F519
Sleep	SLEEP	HD	G471
Sleep	SLEEP	HD	F514
Sleep	SLEEP	HD	G472
Sleep	SLEEP	HD	G474
Sleep	SLEEP	HD	F513
Sleep	SLEEP	HD	G478
Sleep	SLEEP	HD	F510
Sleep	SLEEP	HD	F518
Sleep	SLEEP	HD	F511
Sleep	SLEEP	HD	F512
Sleep	SLEEP	HD	G47
Sleep	SLEEP	COD	F515
Sleep	SLEEP	COD	G473
Sleep	SLEEP	COD	F51
Sleep	SLEEP	COD	G470
Sleep	SLEEP	COD	G479
Sleep	SLEEP	COD	F519
Sleep	SLEEP	COD	G471
Sleep	SLEEP	COD	F514
Sleep	SLEEP	COD	G472
Sleep	SLEEP	COD	G474
Sleep	SLEEP	COD	F513
Sleep	SLEEP	COD	G478
Sleep	SLEEP	COD	F510
Sleep	SLEEP	COD	F518
Sleep	SLEEP	COD	F511
Sleep	SLEEP	COD	F512
Sleep	SLEEP	COD	G47
Sleep	G6_SLEEPAPNO	HD	G473
Sleep	G6_SLEEPAPNO	COD	G473
Sleep	G6_SLEEPAPNO_INCLAVO	HD	G473
Sleep	G6_SLEEPAPNO_INCLAVO	COD	G473
Sleep	G6_SLEEPAPNO_INCLAVO	OUTPAT	G473
Sleep	F5_INSOMNIA	HD	F510
Sleep	F5_INSOMNIA	HD	G470
Sleep	F5_INSOMNIA	COD	F510
Sleep	F5_INSOMNIA	COD	G470
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F515
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F513
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F51
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F510
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F518
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F511
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F519
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F512
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	HD	F514
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F515
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F513
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F51
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F510
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F518
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F511
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F519
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F512
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	COD	F514
Sleep	G6_SLEEPDISOTH	HD	G473
Sleep	G6_SLEEPDISOTH	HD	G472
Sleep	G6_SLEEPDISOTH	HD	G474
Sleep	G6_SLEEPDISOTH	HD	G478
Sleep	G6_SLEEPDISOTH	HD	G470
Sleep	G6_SLEEPDISOTH	HD	G479
Sleep	G6_SLEEPDISOTH	HD	G471
Sleep	G6_SLEEPDISOTH	HD	G47
Sleep	G6_SLEEPDISOTH	COD	G473
Sleep	G6_SLEEPDISOTH	COD	G472
Sleep	G6_SLEEPDISOTH	COD	G474
Sleep	G6_SLEEPDISOTH	COD	G478
Sleep	G6_SLEEPDISOTH	COD	G470
Sleep	G6_SLEEPDISOTH	COD	G479
Sleep	G6_SLEEPDISOTH	COD	G471
Sleep	G6_SLEEPDISOTH	COD	G47
Sleep	F5_SLEEP_NOS	HD	F519
Sleep	F5_SLEEP_NOS	HD	F518
Sleep	F5_SLEEP_NOS	COD	F519
Sleep	F5_SLEEP_NOS	COD	F518
Bowel	K11_CONSTIPATION	HD	K590
Bowel	K11_CONSTIPATION	COD	K590
Bowel	K11_OTHFUNC	HD	K592
Bowel	K11_OTHFUNC	HD	K594
Bowel	K11_OTHFUNC	HD	K593
Bowel	K11_OTHFUNC	HD	K59
Bowel	K11_OTHFUNC	HD	K590
Bowel	K11_OTHFUNC	HD	K598
Bowel	K11_OTHFUNC	HD	K599
Bowel	K11_OTHFUNC	HD	K591
Bowel	K11_OTHFUNC	COD	K592
Bowel	K11_OTHFUNC	COD	K594
Bowel	K11_OTHFUNC	COD	K593
Bowel	K11_OTHFUNC	COD	K59
Bowel	K11_OTHFUNC	COD	K590
Bowel	K11_OTHFUNC	COD	K598
Bowel	K11_OTHFUNC	COD	K599
Bowel	K11_OTHFUNC	COD	K591
Bowel	K11_IBS	HD	K58
Bowel	K11_IBS	HD	K583
Bowel	K11_IBS	HD	K582
Bowel	K11_IBS	HD	K581
Bowel	K11_IBS	HD	K588
Bowel	K11_IBS	COD	K58
Bowel	K11_IBS	COD	K583
Bowel	K11_IBS	COD	K582
Bowel	K11_IBS	COD	K581
Bowel	K11_IBS	COD	K588
Bowel	K11_FUNCDYSP	HD	K30
Bowel	K11_FUNCDYSP	COD	K30
Bowel	K11_REFLUX	HD	K210
Bowel	K11_REFLUX	HD	K21
Bowel	K11_REFLUX	HD	K219
Bowel	K11_REFLUX	COD	K210
Bowel	K11_REFLUX	COD	K21
Bowel	K11_REFLUX	COD	K219
Bladder	N14_NEUROMUSCDYSBLADD	HD	N312
Bladder	N14_NEUROMUSCDYSBLADD	HD	N31
Bladder	N14_NEUROMUSCDYSBLADD	HD	N311
Bladder	N14_NEUROMUSCDYSBLADD	HD	N310
Bladder	N14_NEUROMUSCDYSBLADD	HD	N319
Bladder	N14_NEUROMUSCDYSBLADD	HD	N318
Bladder	N14_NEUROMUSCDYSBLADD	COD	N312
Bladder	N14_NEUROMUSCDYSBLADD	COD	N31
Bladder	N14_NEUROMUSCDYSBLADD	COD	N311
Bladder	N14_NEUROMUSCDYSBLADD	COD	N310
Bladder	N14_NEUROMUSCDYSBLADD	COD	N319
Bladder	N14_NEUROMUSCDYSBLADD	COD	N318
Bladder	N14_OTHBLADD	HD	N329
Bladder	N14_OTHBLADD	HD	N323
Bladder	N14_OTHBLADD	HD	N32
Bladder	N14_OTHBLADD	HD	N328
Bladder	N14_OTHBLADD	HD	N321
Bladder	N14_OTHBLADD	HD	N324
Bladder	N14_OTHBLADD	HD	N320
Bladder	N14_OTHBLADD	HD	N322
Bladder	N14_OTHBLADD	COD	N329
Bladder	N14_OTHBLADD	COD	N323
Bladder	N14_OTHBLADD	COD	N32
Bladder	N14_OTHBLADD	COD	N328
Bladder	N14_OTHBLADD	COD	N321
Bladder	N14_OTHBLADD	COD	N324
Bladder	N14_OTHBLADD	COD	N320
Bladder	N14_OTHBLADD	COD	N322
ADHD	F5_ADHD	HD	F900
ADHD	F5_ADHD	COD	F900
ADHD	KRA_PSY_HYPERKIN_EXMORE	HD	F901
ADHD	KRA_PSY_HYPERKIN_EXMORE	HD	F900
ADHD	KRA_PSY_HYPERKIN_EXMORE	HD	F909
ADHD	KRA_PSY_HYPERKIN_EXMORE	HD	F908
ADHD	KRA_PSY_HYPERKIN_EXMORE	HD	F90
ADHD	KRA_PSY_HYPERKIN_EXMORE	COD	F901
ADHD	KRA_PSY_HYPERKIN_EXMORE	COD	F900
ADHD	KRA_PSY_HYPERKIN_EXMORE	COD	F909
ADHD	KRA_PSY_HYPERKIN_EXMORE	COD	F908
ADHD	KRA_PSY_HYPERKIN_EXMORE	COD	F90
Intellectual disability	F5_MILDRET	HD	F70
Intellectual disability	F5_MILDRET	HD	F700
Intellectual disability	F5_MILDRET	HD	F709
Intellectual disability	F5_MILDRET	HD	F701
Intellectual disability	F5_MILDRET	HD	F708
Intellectual disability	F5_MILDRET	COD	F70
Intellectual disability	F5_MILDRET	COD	F700
Intellectual disability	F5_MILDRET	COD	F709
Intellectual disability	F5_MILDRET	COD	F701
Intellectual disability	F5_MILDRET	COD	F708
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F79
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F731
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F71
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F700
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F72
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F738
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F720
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F78
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F780
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F788
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F798
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F790
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F729
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F719
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F799
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F701
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F730
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F711
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F721
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F718
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F739
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F781
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F789
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F73
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F791
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F728
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F708
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F70
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F709
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	HD	F710
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F79
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F731
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F71
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F700
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F72
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F738
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F720
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F78
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F780
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F788
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F798
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F790
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F729
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F719
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F799
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F701
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F730
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F711
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F721
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F718
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F739
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F781
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F789
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F73
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F791
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F728
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F708
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F70
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F709
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	COD	F710
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F841
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F849
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F848
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F84
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F843
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F845
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F842
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F844
Autism	KRA_PSY_DEVWIDE_EXMORE	HD	F840
