shared	family	def1	def2	rg1	rg2	delta	se_delta	z	p	error_corr	min_detectable_delta	distance	icd10_jaccard	source_jaccard	log_case_ratio
MDD	Epilepsy	G6_EPLEPSY	FE_MODE	0.3316	0.2487	0.0829	0.05359729338449656	1.546719895075513	0.12193080355187726	0.7366832324873116	0.15015738487686955	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6669668491621752
MDD	Epilepsy	G6_EPLEPSY	GE	0.3316	0.1148	0.2168	0.06298181301672523	3.44226356174325	0.0005768679044532801	0.4607767049488288	0.17644891635761234	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.2254228481858638
MDD	Epilepsy	G6_EPLEPSY	GE_STRICT	0.3316	0.3057	0.02589999999999998	0.28834662233063296	0.08982244976777191	0.9284283079639477	0.3354180263485428	0.8078276348143041	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.8859711002633803
MDD	Epilepsy	G6_EPLEPSY	GE_MODE	0.3316	0.0814	0.2502	0.07219121441080356	3.4657956933130225	0.0005286648417804269	0.3906906502732689	0.20224983917093117	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.5390804070409048
MDD	Epilepsy	FE	FE_STRICT	0.279	0.3065	-0.02749999999999997	0.031777292461045485	-0.8653978319175909	0.3868204705803039	0.9313514991684217	0.0890267928305177	0.33333333333333337	1.0	1.0	0.0922098694432019
MDD	Epilepsy	FE	FE_MODE	0.279	0.2487	0.03030000000000002	0.02880193676508025	1.0520125867624304	0.29279377487643055	0.9307907958909909	0.08069108029407328	0.33333333333333337	1.0	1.0	0.1441380805348285
MDD	Epilepsy	FE	GE	0.279	0.1148	0.1642	0.08666481057889888	1.8946559613202383	0.058137995674502244	0.3090589149413371	0.2427988522484035	0.33333333333333337	0.0	1.0	1.7025940795585168
MDD	Epilepsy	FE	GE_STRICT	0.279	0.3057	-0.0267	0.2930031731126593	-0.0911252930006116	0.9273930353419461	0.22198753961362447	0.8208733586526213	0.6666666666666667	0.0	1.0	2.3631423316360336
MDD	Epilepsy	FE	GE_MODE	0.279	0.0814	0.19760000000000003	0.09505486858200596	2.0787993602823835	0.037635795726826106	0.24096474053284	0.2663043147290187	0.6666666666666667	0.0	1.0	2.0162516384135585
MDD	Epilepsy	FE_STRICT	FE_MODE	0.3065	0.2487	0.05779999999999999	0.037796817816601026	1.5292292668779437	0.1262076175992975	0.9002878597978888	0.10589100608669831	0.33333333333333337	1.0	1.0	0.0519282110916264
MDD	Epilepsy	FE_STRICT	GE	0.3065	0.1148	0.19169999999999998	0.10298104354418369	1.8615076464801183	0.0626725218269308	0.14546707621160787	0.28851016933923296	0.6666666666666667	0.0	1.0	1.6103842101153147
MDD	Epilepsy	FE_STRICT	GE_STRICT	0.3065	0.3057	0.0007999999999999674	0.2939842988601138	0.0027212337635100386	0.997828772273458	0.21644236864198343	0.8236220660438	0.6666666666666667	0.0	1.0	2.270932462192832
MDD	Epilepsy	FE_STRICT	GE_MODE	0.3065	0.0814	0.2251	0.10878401421833458	2.0692378527989765	0.03852377225799765	0.11920790186332536	0.30476768620107714	0.6666666666666667	0.0	1.0	1.9240417689703564
MDD	Epilepsy	FE_MODE	GE	0.2487	0.1148	0.13390000000000002	0.09170334754835421	1.4601429891029436	0.1442507798982926	0.22199192764889372	0.2569147429429453	0.6666666666666667	0.0	1.0	1.558455999023688
MDD	Epilepsy	FE_MODE	GE_STRICT	0.2487	0.3057	-0.05700000000000002	0.2946941628468005	-0.19342086537910833	0.846629375760497	0.20042040722600996	0.8256108104957722	0.6666666666666667	0.0	1.0	2.219004251101205
MDD	Epilepsy	FE_MODE	GE_MODE	0.2487	0.0814	0.1673	0.1001991957840115	1.669674079626651	0.09498386480945678	0.15306792842328634	0.28071658577529385	0.33333333333333337	0.0	1.0	1.8721135578787296
MDD	Epilepsy	GE	GE_STRICT	0.1148	0.3057	-0.19090000000000001	0.2745455659751682	-0.6953308436140117	0.48684798913328575	0.47045557906199237	0.7691627993344899	0.33333333333333337	1.0	1.0	0.660548252077517
MDD	Epilepsy	GE	GE_MODE	0.1148	0.0814	0.0334	0.03414404174669983	0.9782087383731675	0.327971095454497	0.8955711150723075	0.09565744264418632	0.33333333333333337	1.0	1.0	0.3136575588550416
MDD	Epilepsy	GE_STRICT	GE_MODE	0.3057	0.0814	0.22430000000000003	0.2781110169795976	0.8065124583556315	0.4199474274848325	0.40617838341942064	0.7791517141644054	0.33333333333333337	1.0	1.0	0.3468906932224753
MDD	Sleep apnoea	G6_SLEEPAPNO	G6_SLEEPAPNO_INCLAVO	0.3528	0.363	-0.010199999999999987	0.005470132176423899	-1.864671578497074	0.06222745294181034	0.9743952193374437	0.015325041446593315	0.44444444444444453	1.0	0.6666666666666666	0.0976805772971709
MDD	Sleep apnoea	G6_SLEEPAPNO	SLEEP	0.3528	0.4204	-0.0676	0.007328015054636742	-9.224871878125665	2.8390010018729555e-20	0.956860677795156	0.020530058655179595	0.7581699346405228	0.0588235294117647	0.6666666666666666	0.1345241316552441
MDD	Sleep apnoea	G6_SLEEPAPNO_INCLAVO	SLEEP	0.363	0.4204	-0.05740000000000001	0.009001437859009427	-6.37675901328909	1.808747299037648e-10	0.9341477458480593	0.025218295247563256	0.8137254901960784	0.0588235294117647	0.5	0.036843554358073
MDD	Insomnia	F5_INSOMNIA	KRA_PSY_SLEEP_NONORG_EXMORE	0.5488	0.6873	-0.13850000000000007	0.04982447992228275	-2.7797580670392392	0.0054399410149208495	0.6987580760218323	0.13958752645043374	0.6333333333333333	0.1	1.0	0.2071965276612578
MDD	Constipation	K11_CONSTIPATION	K11_OTHFUNC	0.5001	0.5852	-0.08510000000000006	0.050977323073219075	-1.6693697289237874	0.09504412897299136	0.3912348956377413	0.1428173147808997	0.7361111111111112	0.125	0.6666666666666666	0.8161211235429875
MDD	ADHD	F5_ADHD	KRA_PSY_HYPERKIN_EXMORE	0.7324	0.7376	-0.005199999999999982	0.03629932984919667	-0.1432533333701493	0.8860901101910803	0.9050715817479329	0.10169566593291623	0.6000000000000001	0.2	1.0	0.0620505905283163
PTSD	Epilepsy	G6_EPLEPSY	FE	0.3729	0.2686	0.1043	0.0563971495724824	1.8493842470877395	0.06440234846580681	0.7020811797812601	0.1580014205859728	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.5228287686273466
PTSD	Epilepsy	G6_EPLEPSY	FE_STRICT	0.3729	0.2854	0.08750000000000002	0.06461477893314764	1.3541793602749939	0.17567916216657908	0.668565948060113	0.18102380953074365	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6150386380705487
PTSD	Epilepsy	G6_EPLEPSY	FE_MODE	0.3729	0.2141	0.1588	0.05964265279750528	2.662524092265766	0.007755701736853868	0.6482777214725691	0.16709397444653487	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6669668491621752
PTSD	Epilepsy	G6_EPLEPSY	GE	0.3729	0.1667	0.20620000000000002	0.0712283790249498	2.894913555842293	0.0037926295981926448	0.36367832729291977	0.19955237378644716	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.2254228481858638
PTSD	Epilepsy	G6_EPLEPSY	GE_STRICT	0.3729	0.4254	-0.05249999999999999	0.38181527615671235	-0.13750104639200417	0.8906347657001281	0.22710792340782623	1.0696880337303663	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.8859711002633803
PTSD	Epilepsy	G6_EPLEPSY	GE_MODE	0.3729	0.1574	0.2155	0.07974719303739998	2.7022894699119306	0.006886377993172451	0.38264759344098664	0.2234185571995812	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.5390804070409048
